Customer_ID;First_Name;Last_Name;Email;Phone_Number
2001;Zainab;Mumu;zainab989@gmail.com;-7506
2002;Fatima;Good;fab003@gmail.com;-1341
2003;Gerald;Ojukwu;geraldojukwu@gmail.com;-9530
2004;Daniel;Hardy;danihardy@gmail.com;-8163
2005;Micheal;Olomola;mike444@gmail.com;231975
2006;John;Doe;john.doe@gmail.com;-7812
2007;Jane;Smith;jane.smith@gmail.com;-9234
2008;Mike;Johnson;mike.j@gmail.com;-9456
2009;Emily;Davis;emily.davis@gmail.com;-678
2010;Chris;Brown;chris.brown@gmail.com;-1890
2011;Jessica;Wilson;jessica.w@gmail.com;-3012
2012;David;Miller;david.miller@gmail.com;-3234
2013;Sarah;Taylor;sarah.taylor@gmail.com;-4456
2014;Brian;Anderson;brian.a@gmail.com;-5678
2015;Megan;Thomas;megan.thomas@gmail.com;-6900
2016;Kevin;Jackson;kevin.j@gmail.com;-8113
2017;Rachel;White;rachel.w@gmail.com;-9235
2018;Laura;Harris;laura.harris@gmail.com;-9457
2019;Daniel;Martin;daniel.m@gmail.com;-679
2020;Amy;Thompson;amy.t@gmail.com;-1891
2021;Mark;Garcia;mark.garcia@gmail.com;-9455
2022;Christopher;Rodriguez;chrisr@gmail.com;-5678
2023;Amanda;Lee;amandal@gmail.com;-6900
2024;Matthew;Walker;mattheww@gmail.com;-8113
2025;Nicole;Hall;nicoleh@gmail.com;-9235
2026;Olivia;Hernandez;oliviah@gmail.com;-679
2027;Benjamin;Scott;benjamins@gmail.com;-3235
2028;Sophia;Wright;sophiaw@gmail.com;-3013
2029;Anthony;King;anthonyk@gmail.com;-1891
2030;Jessica;Martin;jessicam@gmail.com;-4456
2031;John;Smith;john.smith@gmail.com;-5678
2032;Mary;Johnson;mary.johnson@gmail.com;-6900
2033;James;Brown;james.brown@gmail.com;-8112
2034;Linda;Williams;linda.williams@gmail.com;-9234
2035;Robert;Jones;robert.jones@gmail.com;-9456
2036;Patricia;Garcia;patricia.garcia@gmail.com;-678
2037;Michael;Martinez;michael.martinez@gmail.com;-1890
2038;Barbara;Rodriguez;barbara.rodriguez@gmail.com;-3012
2039;William;Lee;william.lee@gmail.com;-3931
2040;Elizabeth;Harris;elizabeth.harris@gmail.com;-5043
