Full_Name;No_of_Sales
"Zainab Mumu";1
"Fatima Good";4
"Gerald Ojukwu";0
"Daniel Hardy";0
"Micheal Olomola";0
"John Doe";0
"Jane Smith";0
"Mike Johnson";4
"Emily Davis";0
"Chris Brown";0
"Jessica Wilson";0
"David Miller";0
"Sarah Taylor";0
"Brian Anderson";0
"Megan Thomas";0
"Kevin Jackson";4
"Rachel White";0
"Laura Harris";0
"Daniel Martin";0
"Amy Thompson";1
"Mark Garcia";0
"Christopher Rodriguez";0
"Amanda Lee";0
"Matthew Walker";0
"Nicole Hall";1
"Olivia Hernandez";0
"Benjamin Scott";0
"Sophia Wright";2
"Anthony King";0
"Jessica Martin";0
"John Smith";0
"Mary Johnson";0
"James Brown";3
"Linda Williams";0
"Robert Jones";0
"Patricia Garcia";0
"Michael Martinez";0
"Barbara Rodriguez";0
"William Lee";0
"Elizabeth Harris";0
